INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date_col1,date_col2,date_col3,date_col4,date_col5
I182070708,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,166,,2018-09-03 00:17:00,2018,9,Monday,0,Part Two,SHAWMUT AVE,42.34107714,-71.0723957,"(42.34107714, -71.07239570)",2011-07-24,2011-07-24,2011-07-24,2011-07-24,2011-07-24
I182070707,619,Larceny,LARCENY ALL OTHERS,D14,782,,2018-09-02 23:12:00,2018,9,Sunday,23,Part One,GORDON ST,42.35293536,-71.14050052,"(42.35293536, -71.14050052)",2011-07-25,2011-07-25,2011-07-25,2011-07-25,2011-07-25
I182070706,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,402,,2018-09-02 23:33:00,2018,9,Sunday,23,Part One,BURT ST,42.28413536,-71.06957385,"(42.28413536, -71.06957385)",2011-07-26,2011-07-26,2011-07-26,2011-07-26,2011-07-26
I182070706,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,402,,2018-09-02 23:33:00,2018,9,Sunday,23,Part Two,BURT ST,42.28413536,-71.06957385,"(42.28413536, -71.06957385)",2011-07-27,2011-07-27,2011-07-27,2011-07-27,2011-07-27
I182070703,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,128,,2018-09-02 23:18:00,2018,9,Sunday,23,Part Three,COLUMBUS AVE,42.34944475,-71.07072461,"(42.34944475, -71.07072461)",2011-07-28,2011-07-28,2011-07-28,2011-07-28,2011-07-28
I182070702,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,624,,2018-09-02 23:00:00,2018,9,Sunday,23,Part Two,JERSEY ST,42.34412622,-71.09760878,"(42.34412622, -71.09760878)",2011-07-29,2011-07-29,2011-07-29,2011-07-29,2011-07-29
I182070701,1402,Vandalism,VANDALISM,C11,254,,2018-09-02 23:20:00,2018,9,Sunday,23,Part Two,DORCHESTER AVE,42.30782846,-71.05837474,"(42.30782846, -71.05837474)",2011-07-30,2011-07-30,2011-07-30,2011-07-30,2011-07-30
I182070699,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-09-02 22:55:00,2018,9,Sunday,22,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)",2011-07-31,2011-07-31,2011-07-31,2011-07-31,2011-07-31
I182070698,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,244,,2018-09-02 23:13:00,2018,9,Sunday,23,Part Two,TAFT ST,42.3173029,-71.05793388,"(42.31730290, -71.05793388)",2011-08-01,2011-08-01,2011-08-01,2011-08-01,2011-08-01
I182070696,619,Larceny,LARCENY ALL OTHERS,D4,623,,2018-09-02 22:15:00,2018,9,Sunday,22,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)",2011-08-02,2011-08-02,2011-08-02,2011-08-02,2011-08-02
I182070695,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,519,,2018-09-02 22:44:00,2018,9,Sunday,22,Part Three,HARVARD AVE,42.25874573,-71.12243682,"(42.25874573, -71.12243682)",2011-08-03,2011-08-03,2011-08-03,2011-08-03,2011-08-03
I182070694,3115,Investigate Person,INVESTIGATE PERSON,E18,482,,2018-09-02 22:37:00,2018,9,Sunday,22,Part Three,MALTA ST,42.26506676,-71.09768522,"(42.26506676, -71.09768522)",2011-08-04,2011-08-04,2011-08-04,2011-08-04,2011-08-04
I182070693,3114,Investigate Property,INVESTIGATE PROPERTY,B3,425,,2018-09-02 22:36:00,2018,9,Sunday,22,Part Three,BLUE HILL AVE,42.27219089,-71.09351043,"(42.27219089, -71.09351043)",2011-08-05,2011-08-05,2011-08-05,2011-08-05,2011-08-05
I182070691,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,20,,2018-09-02 22:31:00,2018,9,Sunday,22,Part Three,CHELSEA ST,42.37638326,-71.03124103,"(42.37638326, -71.03124103)",2011-08-06,2011-08-06,2011-08-06,2011-08-06,2011-08-06
I182070690,3114,Investigate Property,INVESTIGATE PROPERTY,B3,421,,2018-09-02 22:34:00,2018,9,Sunday,22,Part Three,W SELDEN ST,42.27376816,-71.08919673,"(42.27376816, -71.08919673)",2011-08-07,2011-08-07,2011-08-07,2011-08-07,2011-08-07
I182070689,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,,2018-09-02 21:27:00,2018,9,Sunday,21,Part One,COLUMBUS AVE,42.31501293,-71.09756690000002,"(42.31501293, -71.09756690)",2011-08-08,2011-08-08,2011-08-08,2011-08-08,2011-08-08
I182070688,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,117,,2018-09-02 22:47:00,2018,9,Sunday,22,Part Two,BOYLSTON ST,42.352311900000004,-71.06370509999999,"(42.35231190, -71.06370510)",2011-08-09,2011-08-09,2011-08-09,2011-08-09,2011-08-09
I182070688,2610,Other,TRESPASSING,A1,117,,2018-09-02 22:47:00,2018,9,Sunday,22,Part Two,BOYLSTON ST,42.352311900000004,-71.06370509999999,"(42.35231190, -71.06370510)",2011-08-10,2011-08-10,2011-08-10,2011-08-10,2011-08-10
I182070686,3301,Verbal Disputes,VERBAL DISPUTE,B2,586,,2018-09-02 22:02:00,2018,9,Sunday,22,Part Three,HILLSIDE ST,42.33013124,-71.10138008,"(42.33013124, -71.10138008)",2011-08-11,2011-08-11,2011-08-11,2011-08-11,2011-08-11
I182070685,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,348,,2018-09-02 22:39:00,2018,9,Sunday,22,Part One,DORCHESTER AVE,42.30396336,-71.05924636,"(42.30396336, -71.05924636)",2011-08-12,2011-08-12,2011-08-12,2011-08-12,2011-08-12
I182070683,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,639,,2018-09-02 21:36:00,2018,9,Sunday,21,Part Three,ROBINWOOD AVE,42.31668732,-71.11261214,"(42.31668732, -71.11261214)",2011-08-13,2011-08-13,2011-08-13,2011-08-13,2011-08-13
I182070682,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,113,,2018-09-02 21:47:00,2018,9,Sunday,21,Part Three,SUMMER ST,42.35332464,-71.05727637,"(42.35332464, -71.05727637)",2011-08-14,2011-08-14,2011-08-14,2011-08-14,2011-08-14
I182070681,3115,Investigate Person,INVESTIGATE PERSON,B2,304,,2018-09-02 22:17:00,2018,9,Sunday,22,Part Three,SLAYTON WAY,42.32177032,-71.09779774,"(42.32177032, -71.09779774)",2011-08-15,2011-08-15,2011-08-15,2011-08-15,2011-08-15
I182070680,1402,Vandalism,VANDALISM,C6,232,,2018-09-02 21:57:00,2018,9,Sunday,21,Part Two,P ST,42.33292583,-71.02709025,"(42.33292583, -71.02709025)",2011-08-16,2011-08-16,2011-08-16,2011-08-16,2011-08-16
I182070680,2648,Bomb Hoax,BOMB THREAT,C6,232,,2018-09-02 21:57:00,2018,9,Sunday,21,Part Two,P ST,42.33292583,-71.02709025,"(42.33292583, -71.02709025)",2011-08-17,2011-08-17,2011-08-17,2011-08-17,2011-08-17
I182070679,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,379,,2018-09-02 21:46:00,2018,9,Sunday,21,Part Three,ADAMS ST,42.28523455,-71.05509673,"(42.28523455, -71.05509673)",2011-08-18,2011-08-18,2011-08-18,2011-08-18,2011-08-18
I182070677,2905,Violations,VAL - OPERATING WITHOUT LICENSE,, ,,2018-09-02 22:00:00,2018,9,Sunday,22,Part Two,,42.31138549,-71.08113966,"(42.31138549, -71.08113966)",2011-08-19,2011-08-19,2011-08-19,2011-08-19,2011-08-19
I182070677,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,, ,,2018-09-02 22:00:00,2018,9,Sunday,22,Part Three,,42.31138549,-71.08113966,"(42.31138549, -71.08113966)",2011-08-20,2011-08-20,2011-08-20,2011-08-20,2011-08-20
I182070675,3115,Investigate Person,INVESTIGATE PERSON,D4,138,,2018-09-02 22:05:00,2018,9,Sunday,22,Part Three,BOYLSTON ST,42.34901954,-71.08130134,"(42.34901954, -71.08130134)",2011-08-21,2011-08-21,2011-08-21,2011-08-21,2011-08-21
I182070673,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,, ,,2018-09-02 21:51:00,2018,9,Sunday,21,Part Three,,42.31022711,-71.07233091,"(42.31022711, -71.07233091)",2011-08-22,2011-08-22,2011-08-22,2011-08-22,2011-08-22
I182070672,3501,Missing Person Reported,MISSING PERSON,C11,335,,2018-09-02 20:35:00,2018,9,Sunday,20,Part Three,COLEMAN ST,42.30776342,-71.06683062,"(42.30776342, -71.06683062)",2011-08-23,2011-08-23,2011-08-23,2011-08-23,2011-08-23
I182070671,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,235,,2018-09-02 21:27:00,2018,9,Sunday,21,Part Three,CARSON ST,42.3197573,-71.05428941,"(42.31975730, -71.05428941)",2011-08-24,2011-08-24,2011-08-24,2011-08-24,2011-08-24
I182070668,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,291,,2018-09-02 21:12:00,2018,9,Sunday,21,Part One,CENTRE ST,42.32955354,-71.09357444,"(42.32955354, -71.09357444)",2011-08-25,2011-08-25,2011-08-25,2011-08-25,2011-08-25
I182070668,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,291,,2018-09-02 21:12:00,2018,9,Sunday,21,Part Two,CENTRE ST,42.32955354,-71.09357444,"(42.32955354, -71.09357444)",2011-08-26,2011-08-26,2011-08-26,2011-08-26,2011-08-26
I182070667,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,490,,2018-09-02 20:00:00,2018,9,Sunday,20,Part Two,AMERICAN LEGION HWY,42.27531312,-71.11587798,"(42.27531312, -71.11587798)",2011-08-27,2011-08-27,2011-08-27,2011-08-27,2011-08-27
I182070666,2647,Other,THREATS TO DO BODILY HARM,C6,222,,2018-09-02 21:30:22,2018,9,Sunday,21,Part Two,E BROADWAY,42.33561661,-71.03641895,"(42.33561661, -71.03641895)",2011-08-28,2011-08-28,2011-08-28,2011-08-28,2011-08-28
I182070665,3207,Property Found,PROPERTY - FOUND,D14,778,,2018-09-02 21:50:00,2018,9,Sunday,21,Part Three,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600, -71.15049850)",2011-08-29,2011-08-29,2011-08-29,2011-08-29,2011-08-29
I182070663,613,Larceny,LARCENY SHOPLIFTING,B3,428,,2018-09-02 21:20:18,2018,9,Sunday,21,Part One,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)",2011-08-30,2011-08-30,2011-08-30,2011-08-30,2011-08-30
I182070662,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,359,,2018-09-02 20:55:14,2018,9,Sunday,20,Part Two,WASHINGTON ST,42.29417346,-71.07193797,"(42.29417346, -71.07193797)",2011-08-31,2011-08-31,2011-08-31,2011-08-31,2011-08-31
I182070659,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,B3,441,,2018-09-02 20:30:00,2018,9,Sunday,20,Part Three,TALBOT AVE,42.29389648,-71.08451577,"(42.29389648, -71.08451577)",2011-09-01,2011-09-01,2011-09-01,2011-09-01,2011-09-01
I182070657,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,311,,2018-09-02 20:32:00,2018,9,Sunday,20,Part Three,MARTIN LUTHER KING JR BLV,42.31791574,-71.0821563,"(42.31791574, -71.08215630)",2011-09-02,2011-09-02,2011-09-02,2011-09-02,2011-09-02
I182070656,3301,Verbal Disputes,VERBAL DISPUTE,B3,448,,2018-09-02 20:34:00,2018,9,Sunday,20,Part Three,PARK ST,42.29482381,-71.07603424,"(42.29482381, -71.07603424)",2011-09-03,2011-09-03,2011-09-03,2011-09-03,2011-09-03
I182070655,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,D14,777,,2018-09-02 18:00:00,2018,9,Sunday,18,Part Three,WASHINGTON ST,42.34724186,-71.14870339,"(42.34724186, -71.14870339)",2011-09-04,2011-09-04,2011-09-04,2011-09-04,2011-09-04
I182070653,3301,Verbal Disputes,VERBAL DISPUTE,E18,530,,2018-09-02 20:00:00,2018,9,Sunday,20,Part Three,READVILLE ST,42.24077498,-71.13536804,"(42.24077498, -71.13536804)",2011-09-05,2011-09-05,2011-09-05,2011-09-05,2011-09-05
I182070652,1402,Vandalism,VANDALISM,E13,906,,2018-09-02 20:08:00,2018,9,Sunday,20,Part Two,HORAN WAY,42.32547536,-71.10253482,"(42.32547536, -71.10253482)",2011-09-06,2011-09-06,2011-09-06,2011-09-06,2011-09-06
I182070649,613,Larceny,LARCENY SHOPLIFTING,C11,247,,2018-09-02 19:50:00,2018,9,Sunday,19,Part One,DORCHESTER AVE,42.31322413,-71.05715277,"(42.31322413, -71.05715277)",2011-09-07,2011-09-07,2011-09-07,2011-09-07,2011-09-07
I182070648,670,License Plate Related Incidents,RECOVERED STOLEN PLATE,A1,127,,2018-09-02 19:30:00,2018,9,Sunday,19,Other,TREMONT ST,42.34868544,-71.06608848,"(42.34868544, -71.06608848)",2011-09-08,2011-09-08,2011-09-08,2011-09-08,2011-09-08
I182070647,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,A1,127,,2018-08-28 20:53:00,2018,8,Tuesday,20,Part One,TREMONT ST,42.34868544,-71.06608848,"(42.34868544, -71.06608848)",2011-09-09,2011-09-09,2011-09-09,2011-09-09,2011-09-09
I182070646,3116,Harbor Related Incidents,HARBOR INCIDENT / VIOLATION,, ,,2018-09-02 19:12:00,2018,9,Sunday,19,Part Three,ROWES,-1.0,-1.0,"(-1.00000000, -1.00000000)",2011-09-10,2011-09-10,2011-09-10,2011-09-10,2011-09-10
I182070645,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,,2018-09-02 20:00:00,2018,9,Sunday,20,Part Two,TREMONT ST,42.356584999999995,-71.06189505,"(42.35658500, -71.06189505)",2011-09-11,2011-09-11,2011-09-11,2011-09-11,2011-09-11
I182070642,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY Â DAMAGE,C6,206,,2018-09-02 20:07:00,2018,9,Sunday,20,Part Three,SEAPORT BLVD,42.35311458,-71.04842121,"(42.35311458, -71.04842121)",2011-09-12,2011-09-12,2011-09-12,2011-09-12,2011-09-12
I182070641,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,319,,2018-09-02 19:45:00,2018,9,Sunday,19,Part Three,NAZING CT,42.3075244,-71.08720471,"(42.30752440, -71.08720471)",2011-09-13,2011-09-13,2011-09-13,2011-09-13,2011-09-13
I182070640,3301,Verbal Disputes,VERBAL DISPUTE,C6,185,,2018-09-02 19:37:00,2018,9,Sunday,19,Part Three,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)",2011-09-14,2011-09-14,2011-09-14,2011-09-14,2011-09-14
I182070639,3201,Property Lost,PROPERTY - LOST,D14,796,,2018-08-31 22:00:00,2018,8,Friday,22,Part Three,LINDEN ST,42.35179211,-71.13023989,"(42.35179211, -71.13023989)",2011-09-15,2011-09-15,2011-09-15,2011-09-15,2011-09-15
I182070638,1504,Other,WEAPON - OTHER - OTHER VIOLATION,D4,624,,2018-09-02 19:21:00,2018,9,Sunday,19,Part Two,BROOKLINE AVE,42.34717072,-71.09855075,"(42.34717072, -71.09855075)",2011-09-16,2011-09-16,2011-09-16,2011-09-16,2011-09-16
I182070638,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,624,,2018-09-02 19:21:00,2018,9,Sunday,19,Part One,BROOKLINE AVE,42.34717072,-71.09855075,"(42.34717072, -71.09855075)",2011-09-17,2011-09-17,2011-09-17,2011-09-17,2011-09-17
I182070638,2405,Disorderly Conduct,DISORDERLY CONDUCT,D4,624,,2018-09-02 19:21:00,2018,9,Sunday,19,Part Two,BROOKLINE AVE,42.34717072,-71.09855075,"(42.34717072, -71.09855075)",2011-09-18,2011-09-18,2011-09-18,2011-09-18,2011-09-18
I182070637,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,335,,2018-09-02 19:06:00,2018,9,Sunday,19,Part Three,BARRY ST,42.30870401,-71.06844484,"(42.30870401, -71.06844484)",2011-09-19,2011-09-19,2011-09-19,2011-09-19,2011-09-19
I182070636,2629,Harassment,HARASSMENT,C6,223,,2018-09-02 19:21:00,2018,9,Sunday,19,Part Two,O ST,42.33783948,-71.02929361,"(42.33783948, -71.02929361)",2011-09-20,2011-09-20,2011-09-20,2011-09-20,2011-09-20
I182070634,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,266,,2018-08-31 20:00:00,2018,8,Friday,20,Part Three,FAIRLAND ST,42.32522448,-71.07821131,"(42.32522448, -71.07821131)",2011-09-21,2011-09-21,2011-09-21,2011-09-21,2011-09-21
I182070631,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,A7,27,,2018-09-02 18:54:00,2018,9,Sunday,18,Part Two,SUMNER ST,42.36967378,-71.04155054,"(42.36967378, -71.04155054)",2011-09-22,2011-09-22,2011-09-22,2011-09-22,2011-09-22
I182070630,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,2018-09-01 20:30:00,2018,9,Saturday,20,Part Three,,42.27882254,-71.06951915,"(42.27882254, -71.06951915)",2011-09-23,2011-09-23,2011-09-23,2011-09-23,2011-09-23
I182070629,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,315,,2018-09-02 19:03:00,2018,9,Sunday,19,Part Three,WAUMBECK ST,42.314012899999994,-71.08635277,"(42.31401290, -71.08635277)",2011-09-24,2011-09-24,2011-09-24,2011-09-24,2011-09-24
I182070626,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,794,,2018-09-01 16:00:00,2018,9,Saturday,16,Part One,GLENVILLE AVE,42.3502537,-71.13336819,"(42.35025370, -71.13336819)",2011-09-25,2011-09-25,2011-09-25,2011-09-25,2011-09-25
I182070625,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,268,,2018-09-02 18:58:00,2018,9,Sunday,18,Part One,ADAMS ST,42.32851529,-71.07653709,"(42.32851529, -71.07653709)",2011-09-26,2011-09-26,2011-09-26,2011-09-26,2011-09-26
I182070625,1402,Vandalism,VANDALISM,B2,268,,2018-09-02 18:58:00,2018,9,Sunday,18,Part Two,ADAMS ST,42.32851529,-71.07653709,"(42.32851529, -71.07653709)",2011-09-27,2011-09-27,2011-09-27,2011-09-27,2011-09-27
I182070624,2405,Disorderly Conduct,DISORDERLY CONDUCT,, ,,2018-09-02 18:38:00,2018,9,Sunday,18,Part Two,,42.35626508,-71.06226479,"(42.35626508, -71.06226479)",2011-09-28,2011-09-28,2011-09-28,2011-09-28,2011-09-28
I182070623,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,361,,2018-09-02 18:35:00,2018,9,Sunday,18,Part Three,CENTRE ST,42.29339151,-71.06294399999999,"(42.29339151, -71.06294400)",2011-09-29,2011-09-29,2011-09-29,2011-09-29,2011-09-29
I182070622,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D4,627,,2018-09-02 18:23:00,2018,9,Sunday,18,Part Three,BOYLSTON ST,42.34442266,-71.09833083,"(42.34442266, -71.09833083)",2011-09-30,2011-09-30,2011-09-30,2011-09-30,2011-09-30
I182070621,361,Robbery,ROBBERY - OTHER,A7,23,,2018-09-02 18:09:00,2018,9,Sunday,18,Part One,MARION ST,42.37725644,-71.03667354,"(42.37725644, -71.03667354)",2011-10-01,2011-10-01,2011-10-01,2011-10-01,2011-10-01
I182070620,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,447,,2018-09-02 18:06:00,2018,9,Sunday,18,Part Three,MILLET ST,42.29528529,-71.07740522,"(42.29528529, -71.07740522)",2011-10-02,2011-10-02,2011-10-02,2011-10-02,2011-10-02
I182070619,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,157,,2018-09-02 18:33:00,2018,9,Sunday,18,Part Two,SAN JUAN ST,42.34070886,-71.07473698,"(42.34070886, -71.07473698)",2011-10-03,2011-10-03,2011-10-03,2011-10-03,2011-10-03
I182070619,2006,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W ARREST,D4,157,,2018-09-02 18:33:00,2018,9,Sunday,18,Part Two,SAN JUAN ST,42.34070886,-71.07473698,"(42.34070886, -71.07473698)",2011-10-04,2011-10-04,2011-10-04,2011-10-04,2011-10-04
I182070618,801,Simple Assault,ASSAULT - SIMPLE,E13,906,,2018-09-02 18:14:00,2018,9,Sunday,18,Part Two,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)",2011-10-05,2011-10-05,2011-10-05,2011-10-05,2011-10-05
I182070617,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,583,,2018-09-02 17:40:00,2018,9,Sunday,17,Part Three,DAY ST,42.32537833,-71.10765077,"(42.32537833, -71.10765077)",2011-10-06,2011-10-06,2011-10-06,2011-10-06,2011-10-06
I182070616,3114,Investigate Property,INVESTIGATE PROPERTY,B3,437,,2018-09-02 18:37:00,2018,9,Sunday,18,Part Three,NORFOLK ST,42.2874272,-71.07853773,"(42.28742720, -71.07853773)",2011-10-07,2011-10-07,2011-10-07,2011-10-07,2011-10-07
I182070615,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E18,519,,2018-09-02 18:11:00,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948,"(42.25378838, -71.11950948)",2011-10-08,2011-10-08,2011-10-08,2011-10-08,2011-10-08
I182070615,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",E18,519,,2018-09-02 18:11:00,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948,"(42.25378838, -71.11950948)",2011-10-09,2011-10-09,2011-10-09,2011-10-09,2011-10-09
I182070615,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,E18,519,,2018-09-02 18:11:00,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948,"(42.25378838, -71.11950948)",2011-10-10,2011-10-10,2011-10-10,2011-10-10,2011-10-10
I182070614,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,180,,2018-09-02 17:35:00,2018,9,Sunday,17,Part Three,GEORGE ST,42.32688327,-71.07390946,"(42.32688327, -71.07390946)",2011-10-11,2011-10-11,2011-10-11,2011-10-11,2011-10-11
I182070613,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,297,,2018-09-02 18:33:00,2018,9,Sunday,18,Part Three,WALNUT AVE,42.32217348,-71.08506711,"(42.32217348, -71.08506711)",2011-10-12,2011-10-12,2011-10-12,2011-10-12,2011-10-12
I182070612,3115,Investigate Person,INVESTIGATE PERSON,, ,,2018-09-02 17:41:00,2018,9,Sunday,17,Part Three,,42.30665046,-71.10275907,"(42.30665046, -71.10275907)",2011-10-13,2011-10-13,2011-10-13,2011-10-13,2011-10-13
I182070611,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,495,,2018-09-02 17:00:00,2018,9,Sunday,17,Part Three,HYDE PARK AVE,42.26496475,-71.12123167,"(42.26496475, -71.12123167)",2011-10-14,2011-10-14,2011-10-14,2011-10-14,2011-10-14
I182070610,724,Auto Theft,AUTO THEFT,B3,449,,2018-09-02 18:20:00,2018,9,Sunday,18,Part One,SPENCER ST,42.29293522,-71.07575826,"(42.29293522, -71.07575826)",2011-10-15,2011-10-15,2011-10-15,2011-10-15,2011-10-15
I182070609,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,80,,2018-09-02 03:00:00,2018,9,Sunday,3,Part Three,HULL ST,42.36644912,-71.0548399,"(42.36644912, -71.05483990)",2011-10-16,2011-10-16,2011-10-16,2011-10-16,2011-10-16
I182070608,616,Larceny,LARCENY THEFT OF BICYCLE,, ,,2018-09-02 17:15:00,2018,9,Sunday,17,Part One,,42.33974218,-71.07960918,"(42.33974218, -71.07960918)",2011-10-17,2011-10-17,2011-10-17,2011-10-17,2011-10-17
I182070608,1402,Vandalism,VANDALISM,, ,,2018-09-02 17:15:00,2018,9,Sunday,17,Part Two,,42.33974218,-71.07960918,"(42.33974218, -71.07960918)",2011-10-18,2011-10-18,2011-10-18,2011-10-18,2011-10-18
I182070607,619,Larceny,LARCENY ALL OTHERS,E18,519,,2018-08-24 00:00:00,2018,8,Friday,0,Part One,WALTER ST,42.25667872,-71.11853971,"(42.25667872, -71.11853971)",2011-10-19,2011-10-19,2011-10-19,2011-10-19,2011-10-19
I182070606,1402,Vandalism,VANDALISM,C11,416,,2018-09-02 16:58:00,2018,9,Sunday,16,Part Two,WASHINGTON ST,42.28164735,-71.07111848,"(42.28164735, -71.07111848)",2011-10-20,2011-10-20,2011-10-20,2011-10-20,2011-10-20
I182070605,3410,Towed,TOWED MOTOR VEHICLE,D14,793,,2018-09-02 17:20:00,2018,9,Sunday,17,Part Three,COMMONWEALTH AVE,42.34888872,-71.1335453,"(42.34888872, -71.13354530)",2011-10-21,2011-10-21,2011-10-21,2011-10-21,2011-10-21
I182070603,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,2018-09-02 17:30:00,2018,9,Sunday,17,Part Two,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)",2011-10-22,2011-10-22,2011-10-22,2011-10-22,2011-10-22
I182070602,616,Larceny,LARCENY THEFT OF BICYCLE,A1,103,,2018-09-02 16:31:00,2018,9,Sunday,16,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)",2011-10-23,2011-10-23,2011-10-23,2011-10-23,2011-10-23
I182070601,3114,Investigate Property,INVESTIGATE PROPERTY,E18,516,,2018-09-02 17:28:00,2018,9,Sunday,17,Part Three,DANA AVE,42.24725578,-71.11958581,"(42.24725578, -71.11958581)",2011-10-24,2011-10-24,2011-10-24,2011-10-24,2011-10-24
I182070600,3114,Investigate Property,INVESTIGATE PROPERTY,B2,319,,2018-09-02 16:45:00,2018,9,Sunday,16,Part Three,BLUE HILL AVE,42.30803768,-71.08359213,"(42.30803768, -71.08359213)",2011-10-25,2011-10-25,2011-10-25,2011-10-25,2011-10-25
I182070599,3114,Investigate Property,INVESTIGATE PROPERTY,E13,578,,2018-09-02 16:42:00,2018,9,Sunday,16,Part Three,CENTRE ST,42.32088524,-71.11058918,"(42.32088524, -71.11058918)",2011-10-26,2011-10-26,2011-10-26,2011-10-26,2011-10-26
I182070598,311,Robbery,ROBBERY - COMMERCIAL,A15,60,,2018-09-02 17:15:00,2018,9,Sunday,17,Part One,RUTHERFORD AVE,42.37167264,-71.06326413,"(42.37167264, -71.06326413)",2011-10-27,2011-10-27,2011-10-27,2011-10-27,2011-10-27
I182070597,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,282,,2018-09-02 17:30:00,2018,9,Sunday,17,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)",2011-10-28,2011-10-28,2011-10-28,2011-10-28,2011-10-28
